"dist_bp","r2"
38610,0.0256047457201873
397858,0.000968127372662013
236837,0.369507154700724
1313071,0.016245308050885
1280330,0.0354977996305569
319620,0.0815279052004422
147919,0.384324459642097
38439,0.159697448064448
222141,0.0294888911541084
11,0.622642594642507
53471,0.473683359100598
22,0.354656410744444
671002,0.00701446196383994
45,0.895613151547384
234,0.0105944532727154
194999,0.0124839172244634
35020,0.00070124086910181
45760,0.907418345654394
32,0.0076633293480586
21966,0.00558489255478576
7,1
150462,0.280223131259868
1194426,0.226976766502492
47,0.0121439403106236
39761,0.000496242457326067
484776,0.00225027478263973
479229,0.0349462108429741
54905,0.148219914564862
2971,0.142607895070796
378424,0.0754672348110978
536642,0.0450760093316629
100050,0.0269797145916479
418648,0.00198003015464102
9,1
10,1
1961,0.00540200822789306
550969,0.0300213764854354
3,1
8,0.822389243918678
10,0.0883428451733604
16,0.0169196599609206
28,0.882511211406755
329344,0.189845689068567
222671,0.149432304229601
8,1
183488,0.059760211131671
7,0.257481615774371
14,0.0181135107645832
14,1
1237,0.143175952414798
98808,0.109642924409896
3,1
18,1
29,1
49188,0.0059204437054736
92098,0.646855057115221
55,0.0189521845846499
9294,0.618160714691083
182136,0.0315600228052575
11,0.387003992556747
6,0.411363567932936
219808,0.465058574150141
29,0.0551811702997286
22,0.227661462741156
8,0.0107755042124893
28,0.161855529973665
105287,0.140748448103654
109,0.0591664934920453
27775,0.0899482215463539
467734,0.067499065974735
48,0.0845716570715983
686,0.0289565671828165
3,0.066639493883637
15,1
26,0.842757030488259
10,0.0658281181696804
23,1
5,0.0658281181696804
8,0.0658281181696804
1,0.0658281181696804
5,0.0658281181696804
503244,0.502909722740496
49,0.0148014437130754
4,0.999999999999999
231,0.871945412447965
63,0.915011466435291
210476,0.8752295594718
143386,0.0118873417683456
15,0.994341579800348
80144,0.16047756650922
37731,0.026412060529439
47,1
181287,0.512932315045443
17,1
55764,0.0371750957096281
4,0.0339037173165697
481087,0.0324914185904977
26,0.0406808774740844
1,1
1,0.0229392056465474
41583,0.0228240529067547
4,1
974676,0.00394731960368187
172956,0.114968101583036
15,0.606864150469743
114213,0.0503924418731015
10661,0.88508228067939
362124,0.00762146069569353
38304,0.0138066647819569
51090,0.291921074072042
2,1
21,0.323290098884922
4,0.323290098884922
1,0.386624886533517
31,0.0827632423774193
16,0.0027815486428629
283828,0.00153275181021525
4,1
26,1
33452,0.0147874066636171
11,0.0180979765400468
4,1
839101,0.00683620560174197
20362,0.00116474818494533
109,0.0356236558331467
129382,0.603204919371592
331166,0.0417275826999906
381371,0.846458906517332
715756,0.856124469580072
191,0.883638261148447
19057,0.461560724293898
915640,0.00947058782109558
598218,0.00567073692660115
1599772,0.00102691683602811
14,0.866665655779566
425639,0.00141119730387391
1,0.999999999999998
236253,0.204832772246808
186240,0.75091300140271
651332,0.00287389688389637
115036,0.00957128350279743
36747,0.0235682940500305
11,0.923364033485042
6610,0.892464278241065
5,0.52054253063393
19,0.52054253063393
686185,0.820333414235819
775,0.899206860738637
234,0.933997002977489
6,1
1254,0.871565058873841
597,0.86634700752477
132322,0.837594552347087
33,1
22757,0.90079184023162
1170,0.0108275561734894
11,1
47898,0.00294117808756479
6,1
3,1
3,1
376,0.00162147588308933
21766,0.882954154071053
30282,0.598929744179281
8480,0.513359875175741
266460,0.0294459719564704
286505,0.354765656933986
3005,0.797146941517518
8425,0.73565157069454
29,0.882921554474531
2805,0.81540019168977
