trait,n,mean,sd,min,max,range,skewness,dataset
DON,471,17.39129512,7.829892843,2.6,50.9,48.3,1.076918274,Testing
INC,472,56.18644068,26.08721259,0,100,100,-0.517709044,Testing
SEV,472,52.65889831,22.62601337,0,90,90,-0.413196663,Testing
,,,,,,,,
DI,1749,22.03119072,19.57480354,-7.11E-14,100,100,1.106756912,Training
DON,1070,8.932800623,8.280414833,0,46.8,46.8,1.338880359,Training
INC,2114,40.78103021,32.39702657,0,100,100,0.549984678,Training
SEV,2093,19.81013757,19.45878857,0,100,100,1.531529843,Training
