"Trait","Pop","Vg","Vge","Vrep","Ve","Total","Prop_G","Prop_GE","Prop_REP","Prop_E"
"DON","Testing",38.790148508466,NA,0.248124681144388,19.7580819942069,58.7963551838173,0.65973729812324,NA,0.00422006909048472,0.336042632786275
"INC","Testing",337.883636943697,NA,0,344.758776968825,682.642413912522,0.494964318151781,NA,0,0.505035681848219
"SEV","Testing",227.509492618196,NA,0,285.582563512489,513.092056130685,0.443408721495094,NA,0,0.556591278504906
"DON","Training",0,7.56839678494715,NA,10.5724632742599,18.1408600592071,0,0.417201651974927,NA,0.582798348025073
"INC","Training",0,142.551561181062,NA,104.912802819561,247.464364000624,0,0.576048845484285,NA,0.423951154515715
"SEV","Training",0,222.80420436438,0,152.244834563609,375.049038927989,0,0.594066858566618,0,0.405933141433382
"DI","Training",94.0654096331121,22.0958322825392,72.7024672245217,296.178039011705,485.041748151878,0.193932604753144,0.0455544958072774,0.149889092024625,0.610623807414954
