"TRAIT","Forward_accuracy","Forward_n","CV_accuracy","CV_n","Forward_SE","Forward_CI_lower","Forward_CI_upper","CV_SE","CV_CI_lower","CV_CI_upper"
"DON",0.337418753723174,191,0.497012671198318,159,0.0729324957489473,0.205270818777856,0.457483828714665,0.0800640769025436,0.369984675278441,0.605798130308194
"INC",0.0843395301882695,191,0.296480904157555,807,0.0729324957489473,-0.0583410035000249,0.223643388677745,0.0352672807929299,0.232218415020343,0.358166331521467
"SEV",0.298156288632195,191,0.119904916363817,824,0.0729324957489473,0.163077915348638,0.422262646072608,0.0349002406379888,0.0520330498418502,0.186674171271888
