"Trait","Pop","H2","h2","SE_H2","SE_h2","Reps"
"DON","Testing",0.797016529400537,NA,0.0519364035462937,NA,2
"INC","Testing",0.662175427389068,NA,0.0431039488850222,NA,2
"SEV","Testing",0.614391079798669,NA,0.0399934527976606,NA,2
"DI","Training",0.514384973834245,0.203615829837863,0.0173943564944951,0.0163023134587139,3
"DON","Training",0.154625622295314,0.177868412631322,0.0066850486084691,0.0177425402198388,1
"INC","Training",0.271952510044427,0.210812978600813,0.0122981176107492,0.0212953266758242,1
"SEV","Training",0.60163993213681,0.270071415485682,0.0185980339970071,0.0135801753201316,3
